"Classement","Films","Émission","Timestamp","tconst"
"108","Ferris Bueller’s Day Off","4","0h 21m 33s","tt0091042"
"109","Cruising","49","1h 12m 03s","tt0080569"
"110","Near Dark","51","0h 18m 06s","tt0093605"
"111","Les ailes du désir","76","1h 17m 16s","tt0093191"
"112","Thief (Le Solitaire)","4","0h 48m 14s","tt0083190"
"113","Monthy Python: le Sens de la vie","0","0h 53m 54s","tt0085959"
"114","Le père noel est une ordure","6","1h 24m 41s","tt0084555"
"115","Le flic de Beverly Hills 2","164","0h 39m 10s","tt0092644"
"116","Mr Dynamite","49","0h 43m 24s","tt0091431"
"117","Tandem","128","0h 24m 41s","tt0094105"
"118","Rox & Rouky","76","0h 38m 59s","tt0082406"
"119","Osterman Weekend","167","0h 13m 27s","tt0086058"
"120","Rambo III","3","1h 08m 27s","tt0095956"
"121","Rocky IV","3","1h 00m 51s","tt0089927"
"122","Les aventures du Baron Münchhausen","3","0h 09m 45s","tt0096764"
"123","Bad Taste","6","0h 32m 14s","tt0092610"
"124","The Killer","5","1h 10m 23s","tt0097202"
"125","Ladyhawke","46","1h 04m 06s","tt0089457"
"126","Over the top","0","0h 17m 02s","tt0093692"
"127","Kiki la petite sorcière","5","0h 18m 00s","tt0097814"
"128","La Ballade de Narayama","1","0h 32m 52s","tt0084390"
"129","L’etoffe des héros","51","1h 00m 17s","tt0086197"
"130","Le Déclin de l'empire américain","220","0h 37m 39s","tt0090985"
"131","Black Rain","6","0h 20m 02s","tt0096933"
"132","Les coulisses du pouvoir","222","0h 31m 30s","tt0091786"
"133","Bagdad café","128","0h 08m 53s","tt0095801"
"134","Les Ailes d'Honnéamise","112","0h 58m 05s","tt0093207"
"135","Kickboxer","48","0h 31m 03s","tt0097659"
"136","Back to the Future 2","1","0h 19m 05s","tt0096874"
"137","Year of the Dragon","6","0h 04m 37s","tt0090350"
"138","Y’a-t-il un pilote dans l’avion","76","0h 50m 10s","tt0080339"
"139","Top secret !","126","0h 46m 02s","tt0088286"
"140","Les ripoux","47","1h 03m 25s","tt0088002"
"141","Le professionnel","44","1h 10m 44s","tt0082949"
"142","Heaven’s Gate","3","0h 13m 09s","tt0080855"
"143","Itinéraire d’un enfant gâté","49","0h 17m 46s","tt0095386"
"144","Le retour du Jedi","48","0h 07m 55s","tt0086190"
"145","Les sorcières d’Eastwick","78","0h 29m 58s","tt0094332"
"146","Un prince à New-york","77","0h 46m 16s","tt0094898"
"147","Tchao Pantin","47","0h 54m 14s","tt0086420"
"148","Macross: Do you Remember Love","5","0h 46m 39s","tt0087660"
"149","Cocoon","6","0h 49m 58s","tt0088933"
"150","La Soupe aux choux","3","0h 29m 04s","tt0083109"
"151","L’empire du soleil","6","0h 14m 45s","tt0092965"
"152","Le petit dinosaure","2","0h 33m 17s","tt0095489"
"153","L’ours","1","0h 48m 44s","tt0095800"
"154","Rusty James","82","0h 51m 53s","tt0086216"
"155","Miss Daisy et son chauffeur","164","0h 18m 16s","tt0097239"
"156","La vie est un long fleuve tranquille","81","1h 10m 46s","tt0096386"
"157","Né un 4 juillet","78","1h 41m 12s","tt0096969"
"158","Le choc des titans","51","0h 51m 39s","tt0082186"
"159","Nostalghia","44","0h 43m 06s","tt0086022"
"160","L’été meurtrier","45","0h 28m 39s","tt0086655"
"161","Le Dernier Métro","224","1h 01m 36s","tt0080610"
"162","Ragtime","129","0h 08m 54s","tt0082970"
"163","Best of the Best","221","1h 06m 54s","tt0096913"
"164","Jamais plus jamais","126","0h 53m 50s","tt0086006"
"165","Star Trek II","51","1h 23m 52s","tt0084726"
"166","Flashdance","161","0h 13m 29s","tt0085549"
"167","La Danse du Lion","162","0h 13m 03s","tt0081499"
"168","Hellraiser","50","1h 21m 51s","tt0093177"
"169","Link","161","1h 00m 29s","tt0091415"
"170","Police Academy","125","1h 43m 43s","tt0087928"
"171","Spaceballs","45","0h 50m 39s","tt0094012"
"172","TRON","124","0h 13m 33s","tt0084827"
"173","After Hours","52","0h 11m 16s","tt0088680"
"174","Tenue de soirée","49","1h 05m 04s","tt0092068"
"175","La dernière tentation du Christ","50","1h 01m 36s","tt0095497"
"176","Good Morning Vietnam","81","1h 31m 51s","tt0093105"
"177","1984","167","0h 36m 43s","tt0087803"
"178","Le Grand Chemin","76","0h 07m 08s","tt0093111"
"179","Invasion U.S.A","127","0h 10m 10s","tt0089348"
"180","Le tombeau des lucioles","4","1h 10m 00s","tt0095327"
"181","Dune","3","0h 04m 51s","tt0087182"
"182","Tuer n’est pas jouer","46","0h 20m 19s","tt0093428"
"183","Basile détective privé","2","0h 39m 49s","tt0091149"
"184","Beetlejuice","0","0h 51m 36s","tt0094721"
"185","La guerre du feu","49","0h 06m 42s","tt0082484"
"186","Chérie, j’ai rétréci les gosses","45","0h 37m 18s","tt0097523"
"187","Gorilles dans la brume","124","1h 13m 35s","tt0095243"
"188","Amityville 2","44","0h 39m 04s","tt0083550"
"189","Highlander","4","1h 22m 39s","tt0091203"
"190","Master of The Universe","3","0h 21m 37s","tt0093507"
"191","Outland","51","1h 13m 46s","tt0082869"
"192","Top Gun","0","0h 41m 36s","tt0092099"
"193","Das Boot","44","1h 03m 57s","tt0082096"
"194","Princess Bride","46","0h 49m 16s","tt0093779"
"195","L'Equipée du Cannonball","163","0h 43m 38s","tt0082136"
"196","Willow","0","0h 12m 26s","tt0096446"
"197","Greystoke, la légende de Tarzan","124","1h 26m 29s","tt0087365"
"198","American Gigolo","49","0h 55m 13s","tt0080365"
"199","Une créature de rêve","4","0h 33m 03s","tt0090305"
"200","L’aventure intérieure","6","1h 09m 41s","tt0093260"
"201","Peggy Sue s'est mariée","223","0h 47m 42s","tt0091738"
"202","Les Superflics de Miami","5","0h 25m 31s","tt0089591"
"203","Dark Crystal","47","0h 43m 10s","tt0083791"
"204","Les Sous doués","6","1h 33m 40s","tt0081541"
"205","Superman III","3","1h 12m 29s","tt0086393"
"206","Toxic Avenger","77","1h 34m 17s","tt0090190"
"207","Papy fait de la resistance","2","0h 14m 49s","tt0086079"
"208","Les chiens de guerre","78","1h 31m 32s","tt0080641"
