"Classement","Films","Émission","Timestamp","tconst"
"1","Dr Folamour","114","0h 55m 08s","tt0057012"
"2","2001, l’odyssée de l’espace","59","1h 22m 34s","tt0062622"
"3","Il était une fois dans l’Ouest","93","0h 09m 54s","tt0064116"
"4","Barberousse","196","0h 30m 05s","tt0058888"
"5","Harakiri","69","0h 32m 42s","tt0056058"
"6","Psychose","139","0h 56m 08s","tt0054215"
"7","Pour une poignée de dollars","197","1h 07m 59s","tt0058461"
"8","Un taxi pour Tobrouk","69","0h 59m 06s","tt0054425"
"9","La planète des singes","59","1h 02m 50s","tt0063442"
"10","Le Grand Silence","113","0h 38m 44s","tt0063032"
"11","La nuit des morts-vivants","60","0h 44m 48s","tt0063350"
"12","Yojimbo","60","1h 10m 06s","tt0055630"
"13","Cent mille dollars au soleil","69","1h 19m 09s","tt0056917"
"14","La Grande Vadrouille","198","0h 52m 57s","tt0060474"
"15","La grande evasion","114","0h 34m 24s","tt0057115"
"16","Bullitt","69","1h 35m 02s","tt0062765"
"17","Les 7 mercenaires","94","0h 43m 58s","tt0054047"
"18","Les yeux sans visage","196","0h 15m 51s","tt0053459"
"19","Pas de printemps pour Marnie","197","0h 44m 12s","tt0058329"
"20","Jason & les Argonautes","83","0h 39m 40s","tt0057197"
"21","Easy Rider","69","0h 10m 14s","tt0064276"
"22","L'Affaire Thomas Crown","139","0h 26m 50s","tt0063688"
"23","Playtime","197","0h 24m 03s","tt0062136"
"24","Plein soleil","198","0h 27m 54s","tt0054189"
"25","Week-end à Zuydcoote","201","0h 33m 53s","tt0058740"
"26","Les tontons flingueurs","60","0h 58m 03s","tt0057591"
"27","Bonnie and Clyde","59","0h 26m 22s","tt0061418"
"28","Opération Tonnerre","114","1h 10m 46s","tt0059800"
"29","L’armée des ombres","113","1h 05m 03s","tt0064040"
"30","La prisonnière","140","0h 46m 53s","tt0063458"
"31","Bons baisers de Russie","60","0h 31m 36s","tt0057076"
"32","Docteur Jivago","60","0h 06m 13s","tt0059113"
"33","Quand les aigles attaquent","59","0h 19m 18s","tt0065207"
"34","Goyôkin","130","0h 21m 49s","tt0064387"
"35","Le Corps et le Fouet","198","0h 10m 17s","tt0057078"
"36","Le Président","114","0h 46m 06s","tt0055336"
"37","Les désaxés","199","0h 31m 46s","tt0055184"
"38","To kill a mocking bird","94","0h 56m 01s","tt0056592"
"39","L'or se barre","198","0h 38m 58s","tt0064505"
"40","Le bal des vampires","83","1h 11m 13s","tt0061655"
"41","Au service de Sa Majesté","83","1h 26m 28s","tt0064757"
"42","Diamants sur canapé","199","0h 13m 53s","tt0054698"
"43","If","75","0h 08m 23s","tt0063850"
"44","Spartacus","93","0h 37m 59s","tt0054331"
"45","La Guerre des boutons","201","0h 16m 22s","tt0054949"
"46","L’étrangleur de Boston","69","0h 46m 04s","tt0062755"
"47","Le livre de la jungle","59","1h 11m 16s","tt0061852"
"48","Le jour le plus long","59","0h 03m 04s","tt0056197"
"49","Daikaijû Gamera","196","1h 16m 22s","tt0059080"
"50","Les Cheyennes","140","0h 27m 07s","tt0057940"
"51","Mothra","196","1h 01m 10s","tt0055198"
"52","West Side Story","139","0h 43m 37s","tt0055614"
"53","Cartouche","83","1h 03m 22s","tt0055832"
"54","Paris brûle-t-il ?","113","0h 57m 33s","tt0060814"
"55","Les nerfs à vif","94","0h 06m 08s","tt0055824"
"56","Le Bossu","139","0h 13m 45s","tt0052644"
"57","L'héritage des 500 000","199","1h 17m 16s","tt0057109"
"58","La party","201","0h 58m 34s","tt0063415"
"59","Lolita","94","0h 29m 43s","tt0056193"
"60","La vengeance aux deux visages","114","0h 06m 35s","tt0055257"
"61","Danger: Diabolik!","199","0h 54m 33s","tt0062861"
"62","55 jours de Pékin","111","1h 09m 03s","tt0056800"
"63","Les 101 dalmatiens","201","1h 23m 10s","tt0055254"
"64","Les parapluies de Cherbourg","113","0h 21m 12s","tt0058450"
"65","Fantomas","83","0h 51m 00s","tt0058089"
"66","Mothra contre Godzilla","83","0h 13m 19s","tt0058379"
"67","Pierrot le fou","59","0h 35m 39s","tt0059592"
"68","Batman","60","1h 27m 50s","tt0060153"
"69","Mary Poppins","140","0h 14m 12s","tt0058331"
"70","Le gendarme se marie","197","0h 11m 51s","tt0063005"
"71","Frankenstein conquiert le monde","196","1h 29m 15s","tt0059205"
"72","La mélodie du bonheur","113","0h 10m 53s","tt0059742"
"73","Casino Royale","94","0h 16m 25s","tt0061452"
"74","L’odysée du cosmos","83","0h 28m 36s","tt0061094"
"75","Docteur Jerry et Mister Love","60","1h 22m 06s","tt0057372"
"76","Jules et Jim","60","1h 35m 09s","tt0055032"
"77","La dolce vita","59","0h 51m 09s","tt0053779"
"78","Cléopatre","59","0h 10m 37s","tt0056937"
"79","Les gendarmes de St Tropez","114","0h 21m 04s","tt0058135"
"80","Don Camillo en Russie","60","0h 18m 11s","tt0059049"
