"Classement","Films","Émission","Timestamp"
"Classement","Film","Episode","Timestamp"
"1","Apocalypse Now","71","1h 52m 45s"
"2","Alien, le huitième passager","120","1h 21m 40s"
"3","Le Parrain 2","74","1h 32m 15s"
"4","Monty Python: Sacré Graal","16","0h 06m 42s"
"5","Taxi Driver","21","1h 16m 26s"
"6","Un après-midi de chien","74","1h 17m 11s"
"7","Le Parrain","74","1h 32m 15s"
"8","Network : Main basse sur la TV","119","1h 19m 38s"
"9","Croix de fer","71","1h 26m 13s"
"10","Stalker","74","1h 04m 03s"
"11","Dirty Harry","15","0h 24m 04s"
"12","Rollerball","21","1h 04m 29s"
"13","Baby Cart","17","1h 19m 40s"
"14","L’homme des Hautes Plaines","15","0h 19m 25s"
"15","Voyage au bout de l’enfer","21","0h 15m 35s"
"16","Les Moissons du ciel","118","1h 12m 22s"
"17","Lady Snowblood","17","1h 02m 46s"
"18","La Fureur de vaincre","117","1h 13m 34s"
"19","La fureur du dragon","17","0h 05m 38s"
"20","Le Cercle rouge","18","1h 03m 56s"
"21","Soleil Vert","22","0h 16m 10s"
"22","Mr. Klein","191","0h 52m 40s"
"23","De l'or pour les braves","115","0h 58m 56s"
"24","Superman","20","0h 52m 39s"
"25","Les aventures de Rabbi Jacob","16","0h 12m 22s"
"26","La femme scorpion","17","1h 09m 42s"
"27","Drunken Master","15","0h 37m 07s"
"28","Barry Lindon","18","1h 07m 46s"
"29","I… comme Icare","22","0h 37m 09s"
"30","Borsalino","191","0h 37m 27s"
"31","Papillon","73","0h 23m 21s"
"32","Frankenstein Junior","72","0h 56m 20s"
"33","Halloween","70","0h 40m 10s"
"34","Nous nous sommes tant aimés","22","0h 27m 19s"
"35","Les 3 jours du condor","16","0h 27m 05s"
"36","The Warriors","22","1h 43m 02s"
"37","L'Épreuve de force","21","0h 06m 31s"
"38","Les Duellistes","75","0h 30m 38s"
"39","Soleil rouge","191","1h 18m 16s"
"40","The street fighter","22","1h 25m 38s"
"41","Annie Hall","20","1h 04m 33s"
"42","Dersou Ouzala","17","0h 45m 02s"
"43","Zombie","21","0h 35m 15s"
"44","Chinatown","73","0h 37m 11s"
"45","Le Cimetière de la Morale","118","1h 00m 20s"
"46","Soldat bleu","194","0h 15m 39s"
"47","Les Proies","116","0h 43m 17s"
"48","Rocky","190","0h 35m 22s"
"49","Peur sur la ville","22","1h 37m 39s"
"50","Cabaret","190","0h 19m 56s"
"51","Rocky Horror Picture Show","18","0h 05m 26s"
"52","La Planète sauvage","192","0h 45m 28s"
"53","Mon nom est Personne","15","0h 12m 12s"
"54","Le Locataire","22","0h 41m 30s"
"55","Le justicier de Shanghai","22","0h 22m 54s"
"56","Le convoi de la peur","15","0h 29m 37s"
"57","Mad Max","21","0h 51m 32s"
"58","La balade sauvage","22","1h 31m 02s"
"59","Duel","21","0h 27m 16s"
"60","Les Frissons de l'angoisse","117","0h 37m 17s"
"61","Le chateau de Cagliostro","15","1h 27m 25s"
"62","Mes chers amis","75","0h 45m 32s"
"63","La rage du tigre","73","1h 46m 51s"
"64","La petite fille au bout du chemin","193","0h 17m 43s"
"65","Opération Dragon","73","1h 24m 59s"
"66","Sex and Fury","72","0h 30m 26s"
"67","Il était une fois la révolution","118","0h 12m 29s"
"68","L’espion qui m’aimait","18","0h 56m 37s"
"69","Baby Cart 2 : l’enfant massacre","70","1h 36m 07s"
"70","Combat sans code d’honneur","17","1h 14m 40s"
"71","Un éléphant ça trompe énormément","17","0h 57m 55s"
"72","Le corps de mon ennemi","22","0h 31m 49s"
"73","Les hommes du président","16","0h 20m 35s"
"74","L’Homme qui voulut être roi","16","1h 10m 34s"
"75","Super Express 109","190","1h 18m 58s"
"76","Nashville","120","1h 04m 26s"
"77","Dodes'kaden","118","0h 33m 51s"
"78","Phantasm","75","1h 03m 30s"
"79","La Guerre des étoiles","117","1h 25m 33s"
"80","Pink Flamingos","18","0h 11m 26s"
"81","Le Magnifique","17","0h 35m 53s"
"82","Les bronzés font du ski","22","0h 59m 36s"
"83","Mais où est donc passée la 7ème compagnie ?","116","1h 06m 09s"
"84","La folie des grandeurs","22","0h 56m 50s"
"85","L’empire des sens","18","0h 33m 41s"
"86","Les chinois à Paris","15","1h 20m 56s"
"87","Aguirre, la colère de Dieu","20","0h 19m 47s"
"88","Delivrance","17","0h 53m 47s"
"89","Solaris","15","0h 49m 50s"
"90","French Connection","15","0h 04m 10s"
"91","M.A.S.H","71","1h 10m 45s"
"92","Kramer contre Kramer","194","1h 15m 19s"
"93","Magnum Force","192","1h 18m 32s"
"94","Vivre et laisser mourir","21","1h 27m 41s"
"95","The Frisco Kid","72","1h 07m 03s"
"96","The Driver","21","0h 45m 47s"
"97","L’évadé d’Alcatraz","73","0h 08m 15s"
"98","Soldier of Orange","72","0h 14m 53s"
"99","Tintin et le lac aux requins","20","0h 07m 19s"
"100","Le Privé","120","0h 53m 50s"
"101","Les diamants sont éternels","20","0h 34m 30s"
"102","Le Grand Blond avec une chaussure noire","116","1h 27m 25s"
"103","Les douze travaux d’Astérix","17","0h 41m 21s"
"104","La montagne sacrée","20","0h 27m 53s"
"105","L’arnaque","16","1h 06m 47s"
"106","Conversation secrète","16","0h 33m 26s"
"107","Tommy","117","0h 52m 58s"
"108","Les aristochats","71","0h 59m 18s"
"109","Le couvent de la bête sacrée","70","1h 22m 25s"
"110","Les bronzés","16","0h 16m 36s"
"111","La ballade des daltons","20","0h 16m 02s"
"112","Lacombe Lucien","15","1h 09m 46s"
"113","La scoumoune","17","0h 12m 15s"
"114","American Graffiti","17","0h 20m 43s"
"115","Le vieux fusil","16","0h 54m 15s"
"116","Patton","115","0h 51m 12s"
