"Classement","Films","Émission","Timestamp"
"Classement","Hana-bi","58","1h 45m 40s"
"2","The Blade","13","1h 09m 15s"
"3","Pulp Fiction","9","0h 22m 13s"
"4","Fargo","8","0h 36m 41s"
"5","Impitoyable","56","0h 34m 47s"
"6","Perfect Blue","86","1h 11m 04s"
"7","The mission","53","1h 08m 21s"
"8","L’armée des 12 singes","58","0h 58m 27s"
"9","Starship Troopers","134","1h 24m 07s"
"10","Ghost in the Shell","132","1h 27m 03s"
"11","À toute épreuve","215","0h 50m 23s"
"12","Matrix","85","1h 03m 51s"
"13","The Truman Show","7","0h 52m 47s"
"14","The Iron Giant","10","0h 55m 16s"
"15","Once Upon a Time in China","13","1h 05m 43s"
"16","Casino","12","1h 29m 16s"
"17","Terminator 2","55","0h 11m 38s"
"18","Une balle dans la tête","58","1h 29m 40s"
"19","Le Silence des Agneaux","7","0h 03m 59s"
"20","Sixième Sens","8","0h 22m 00s"
"21","Tous les matins du monde","13","0h 32m 58s"
"22","Point Break","85","0h 51m 52s"
"23","Baraka","58","1h 18m 08s"
"24","Porco Rosso","10","0h 58m 26s"
"25","Heat","12","1h 17m 16s"
"26","L’impasse","13","1h 22m 27s"
"27","Trainspotting","84","1h 15m 48s"
"28","Magnolia","89","1h 00m 13s"
"29","My own private Idaho","85","0h 41m 55s"
"30","Kids Returns","85","0h 31m 52s"
"31","Police Story 3","56","1h 32m 48s"
"32","L.A. Confidential","10","0h 49m 38s"
"33","Une journée en enfer  (Die Hard 3)","55","1h 04m 02s"
"34","Madadayo","12","1h 12m 16s"
"35","Reservoir Dogs","8","0h 42m 55s"
"36","Ninja Scroll","111","0h 04m 41s"
"37","Il faut sauver le soldat Ryan","13","0h 44m 26s"
"38","Cyrano de Bergerac","13","0h 22m 17s"
"39","Au nom du père","137","0h 12m 03s"
"40","Man on the Moon","136","1h 02m 57s"
"41","Mononoke Hime","9","0h 33m 19s"
"42","Last Action Hero","9","1h 19m 07s"
"43","Jackie Brown","84","1h 01m 44s"
"44","Usual Suspects","53","0h 13m 49s"
"45","Braveheart","179","1h 11m 41s"
"46","Rumble in the Bronx","91","1h 29m 41s"
"47","La cité de la peur","11","0h 15m 00s"
"48","Ghost Dog","8","0h 31m 58s"
"49","Tout sur ma mère","12","0h 43m 59s"
"50","Eyes Wide Shut","12","1h 04m 51s"
"51","Schindler’s List","9","0h 15m 38s"
"52","La Haine","8","0h 04m 34s"
"53","Bram Stroker’s Dracula","11","0h 32m 33s"
"54","L’antre de la folie","10","1h 21m 26s"
"55","Smoke","87","0h 59m 31s"
"56","Bound","137","1h 26m 40s"
"57","Tokyo Fist","215","0h 33m 32s"
"58","Un Plan simple","137","0h 24m 20s"
"59","L’étrange Noël de Monsieur Jack","90","1h 04m 59s"
"60","Will Hunting","132","0h 09m 28s"
"61","Little Odessa","173","1h 17m 00s"
"62","The Full Monty","179","0h 53m 59s"
"63","Toy Story","56","0h 17m 00s"
"64","Philadelphia","9","0h 47m 27s"
"65","Strange Days","8","1h 17m 28s"
"66","Germinal","88","1h 33m 24s"
"67","Bernie","8","0h 48m 08s"
"68","L’été de Kikujiro","9","0h 39m 22s"
"69","Seul contre tous","172","1h 05m 59s"
"70","Virgin Suicides","57","1h 28m 18s"
"71","Snake Eyes","7","0h 19m 39s"
"72","Iron Monkey","56","1h 23m 11s"
"73","Misery","9","1h 03m 50s"
"74","JF partegerait appartement","87","0h 07m 44s"
"75","Last Seduction","178","0h 56m 51s"
"76","Leaving Las Vegas","175","0h 18m 17s"
"77","Le bûcher des vanités","91","1h 15m 28s"
"78","Jurassic Park","55","0h 41m 37s"
"79","Dark City","8","1h 22m 14s"
"80","Tai Chi Master","215","0h 16m 41s"
"81","Les anges déchus","215","1h 12m 09s"
"82","Bienvenue à Gattaca","174","0h 55m 23s"
"83","The Pillow Book","11","0h 24m 26s"
"84","Raisons et Sentiments","10","0h 36m 47s"
"85","From Dusk till Dawn","11","0h 49m 17s"
"86","JFK","12","1h 23m 45s"
"87","White Men Can’t Jump","13","0h 13m 17s"
