"Classement","Films","Émission","Timestamp"
"1","Les 7 Samouraïs","153","1h 35m 25s"
"2","12 Hommes en colère","213","0h 49m 48s"
"3","Sueurs froides","211","0h 48m 46s"
"4","Les Sentiers de la gloire","213","0h 15m 45s"
"5","Quand la ville dort","168","0h 25m 01s"
"6","La prisonnière du désert","171","0h 28m 06s"
"7","Le pont de la rivière Kwaï","150","0h 14m 50s"
"8","La mort aux trousses","151","0h 33m 53s"
"9","L'ultime razzia","168","0h 09m 45s"
"10","Le septième sceau","150","1h 09m 33s"
"11","Scandale","171","1h 15m 50s"
"12","Godzilla","212","0h 28m 04s"
"13","La nuit du chasseur","153","0h 39m 26s"
"14","Le train sifflera trois fois","211","0h 13m 01s"
"15","Les Quatre Cents Coups","152","0h 20m 20s"
"16","La Traversée de Paris","151","1h 10m 02s"
"17","Le crime était presque parfait","170","0h 34m 07s"
"18","Bas les masques","171","1h 00m 50s"
"19","Le gouffre aux chimères","210","0h 08m 48s"
"20","20.000 lieues sous les mers","151","0h 09m 50s"
"21","Ben-Hur","153","1h 17m 30s"
"22","Moby Dick","152","1h 10m 34s"
"23","Alice au pays des merveilles","153","0h 12m 18s"
"24","La Reine africaine","214","0h 46m 39s"
"25","La rivière sans retour","171","0h 14m 14s"
"26","Dieu seul le sait","211","0h 30m 00s"
"27","Les Aventures de Peter Pan","210","1h 16m 03s"
"28","L'Étrange Créature du lac noir","170","0h 15m 55s"
"29","Le chien des Baskerville","150","1h 33m 40s"
"30","Les dix commandements","152","0h 47m 34s"
"31","La Belle au bois dormant","169","0h 39m 06s"
"32","Les mines du roi Salomon","214","1h 03m 08s"
"33","Les gladiateurs","212","1h 07m 52s"
"34","À l'abordage","210","0h 55m 52s"
"35","L'ile au trésor","210","1h 06m 57s"
"36","Mogambo","214","0h 34m 43s"
"37","Sabrina","152","0h 11m 00s"
"38","Touchez pas au grisbi","151","0h 55m 15s"
"39","Le monde du silence","152","1h 25m 58s"
"40","Cendrillon","169","0h 27m 40s"
"41","Guerre et Paix","153","1h 05m 32s"
"42","Sissi impératrice","169","0h 08m 56s"
"43","Le Retour de la mouche","150","0h 53m 10s"
"44","Ali Baba et les 40 voleurs","152","0h 37m 58s"
